         170055 function calls (163997 primitive calls) in 0.738 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       88    0.000    0.000    0.000    0.000 six.py:137(__init__)
       32    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       29    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1319(__init__)
      105    0.000    0.000    0.000    0.000 sre_parse.py:897(fix_flags)
       54    0.000    0.000    0.000    0.000 typing.py:165(_collect_type_vars)
       65    0.000    0.000    0.000    0.000 sre_compile.py:492(_get_charset_prefix)
       17    0.000    0.000    0.000    0.000 functools.py:37(update_wrapper)
      114    0.000    0.000    0.003    0.000 sre_parse.py:96(closegroup)
      243    0.000    0.000    0.000    0.000 {built-in method builtins.max}
       88    0.000    0.000    0.000    0.000 six.py:141(__init__)
     53/1    0.000    0.000    0.738    0.738 {built-in method builtins.__import__}
      109    0.000    0.000    0.126    0.001 re.py:232(compile)
        1    0.000    0.000    0.003    0.003 tokenize.py:21(<module>)
       22    0.000    0.000    0.000    0.000 queue.py:121(put)
      257    0.000    0.000    0.000    0.000 hmac.py:17(<genexpr>)
      110    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      257    0.000    0.000    0.000    0.000 hmac.py:18(<genexpr>)
       10    0.000    0.000    0.001    0.000 enum.py:890(<listcomp>)
      237    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:424(has_location)
       36    0.000    0.000    0.001    0.000 enum.py:830(__or__)
      212    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:909(get_filename)
      212    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:719(create_module)
      232    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1325(<genexpr>)
       91    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       22    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
      120    0.000    0.000    0.000    0.000 ssl.py:144(<lambda>)
      120    0.000    0.000    0.000    0.000 ssl.py:149(<lambda>)
      120    0.000    0.000    0.000    0.000 ssl.py:124(<lambda>)
      120    0.000    0.000    0.000    0.000 ssl.py:139(<lambda>)
        3    0.000    0.000    0.000    0.000 {function socket.close at 0x7f8f26e3c170}
      120    0.000    0.000    0.000    0.000 ssl.py:129(<lambda>)
      120    0.000    0.000    0.000    0.000 ssl.py:134(<lambda>)
       42    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
      227    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
       24    0.000    0.000    0.000    0.000 queue.py:153(get)
        3    0.000    0.000    0.000    0.000 tokenize.py:132(_all_string_prefixes)
      213    0.000    0.000    0.000    0.000 {method 'items' of 'collections.OrderedDict' objects}
        1    0.000    0.000    0.000    0.000 quoprimime.py:27(<module>)
      176    0.000    0.000    0.000    0.000 sre_compile.py:453(_get_iscased)
      151    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
       15    0.000    0.000    1.585    0.106 __init__.py:1(<module>)
      3/1    0.000    0.000    0.000    0.000 base.py:36(xmlelement)
       17    0.000    0.000    0.000    0.000 client.py:1208(putheader)
      105    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
      189    0.000    0.000    0.000    0.000 status_codes.py:115(<genexpr>)
        2    0.000    0.000    0.000    0.000 lazy.py:139(__new__)
       24    0.000    0.000    0.000    0.000 typing.py:113(_type_check)
        1    0.000    0.000    0.011    0.011 socket.py:47(<module>)
      163    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
       40    0.000    0.000    0.000    0.000 enum.py:453(_find_data_type)
       40    0.000    0.000    0.000    0.000 enum.py:442(_get_mixins_)
        1    0.000    0.000    0.004    0.004 typing.py:19(<module>)
       10    0.000    0.000    0.001    0.000 enum.py:872(_decompose)
        1    0.000    0.000    0.005    0.005 inspect.py:27(<module>)
        2    0.000    0.000    0.000    0.000 ssl.py:1128(_real_close)
       29    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1445(path_hook_for_FileFinder)
      134    0.000    0.000    0.000    0.000 six.py:88(__init__)
       68    0.000    0.000    0.000    0.000 status_codes.py:114(doc)
       21    0.000    0.000    0.025    0.001 <frozen importlib._bootstrap>:433(spec_from_loader)
      145    0.000    0.000    0.000    0.000 __init__.py:388(<genexpr>)
       58    0.000    0.000    0.000    0.000 __init__.py:20(__new__)
       18    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
       54    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
       10    0.000    0.000    0.015    0.001 enum.py:633(_convert)
      144    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.001    0.001 icalendar.py:1(<module>)
        2    0.000    0.000    0.000    0.000 {method 'set_ciphers' of '_ssl._SSLContext' objects}
       32    0.000    0.000    0.001    0.000 abc.py:125(__new__)
        4    0.000    0.000    0.000    0.000 {method 'write' of '_ssl._SSLSocket' objects}
       45    0.000    0.000    0.000    0.000 threading.py:335(notify)
        1    0.000    0.000    0.000    0.000 {built-in method io.open}
      137    0.000    0.000    0.000    0.000 enum.py:623(name)
       10    0.000    0.000    0.001    0.000 _collections_abc.py:824(update)
        1    0.000    0.000    0.001    0.001 opcode.py:5(<module>)
      145    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
       53    0.000    0.000    0.000    0.000 six.py:177(_add_module)
       18    0.000    0.000    0.000    0.000 url.py:303(<listcomp>)
      132    0.000    0.000    0.000    0.000 six.py:87(__init__)
        5    0.000    0.000    0.000    0.000 socket.py:139(__init__)
       16    0.000    0.000    0.000    0.000 parse.py:361(urlparse)
       18    0.000    0.000    0.000    0.000 parse.py:412(urlsplit)
        2    0.000    0.000    0.000    0.000 lazy.py:84(__new__)
        1    0.000    0.000    0.001    0.001 encoder.py:2(<module>)
       50    0.000    0.000    0.000    0.000 structures.py:48(__setitem__)
       32    0.000    0.000    0.000    0.000 ssl.py:191(_dnsname_match)
        1    0.000    0.000    0.000    0.000 token.py:78(<dictcomp>)
      116    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        4    0.000    0.000    0.001    0.000 url.py:330(parse_url)
       69    0.000    0.000    0.000    0.000 status_codes.py:120(<genexpr>)
       42    0.000    0.000    0.000    0.000 parse.py:109(_coerce_args)
        1    0.000    0.000    0.349    0.349 objects.py:127(_query)
        1    0.000    0.000    0.057    0.057 utils.py:9(<module>)
       44    0.000    0.000    0.000    0.000 six.py:103(__init__)
        1    0.000    0.000    0.008    0.008 tz.py:9(<module>)
       15    0.000    0.000    0.000    0.000 enum.py:474(_find_new_)
       32    0.000    0.000    0.025    0.001 <frozen importlib._bootstrap>:873(_find_spec_legacy)
        1    0.000    0.000    0.002    0.002 rrule.py:7(<module>)
        3    0.000    0.000    0.451    0.150 __init__.py:3(<module>)
        2    0.000    0.000    0.075    0.037 ssl.py:813(_create)
       11    0.000    0.000    0.000    0.000 __init__.py:1216(getLogger)
      122    0.000    0.000    0.000    0.000 enum.py:659(<lambda>)
      119    0.000    0.000    0.000    0.000 opcode.py:39(def_op)
       52    0.000    0.000    0.000    0.000 base.py:1163(registerBehavior)
        1    0.000    0.000    0.000    0.000 error.py:35(HTTPError)
      110    0.000    0.000    0.000    0.000 typing.py:613(<genexpr>)
        1    0.000    0.000    0.019    0.019 cookiejar.py:26(<module>)
        1    0.000    0.000    0.137    0.137 connectionpool.py:1(<module>)
       47    0.000    0.000    0.000    0.000 threading.py:243(__exit__)
        1    0.000    0.000    0.001    0.001 datetime.py:5(<module>)
        1    0.000    0.000    0.006    0.006 models.py:8(<module>)
        1    0.000    0.000    0.250    0.250 __init__.py:41(<module>)
        1    0.000    0.000    0.034    0.034 prop.py:37(<module>)
        2    0.000    0.000    0.001    0.000 client.py:1254(_send_request)
       84    0.000    0.000    0.000    0.000 lazy.py:149(lazy)
       10    0.000    0.000    0.001    0.000 enum.py:800(_create_pseudo_member_)
        1    0.000    0.000    0.003    0.003 request.py:68(<module>)
        1    0.000    0.000    0.004    0.004 random.py:38(<module>)
       47    0.000    0.000    0.000    0.000 threading.py:240(__enter__)
       15    0.000    0.000    0.000    0.000 enum.py:125(__prepare__)
       46    0.000    0.000    0.000    0.000 queue.py:14(_qsize)
        9    0.000    0.000    0.000    0.000 message.py:462(get)
       35    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       46    0.000    0.000    0.000    0.000 six.py:105(__init__)
       14    0.000    0.000    0.001    0.000 sessions.py:50(merge_setting)
       82    0.000    0.000    0.000    0.000 structures.py:60(<genexpr>)
        2    0.000    0.000    0.075    0.038 connection.py:1(<module>)
        2    0.000    0.000    0.000    0.000 {method '_wrap_socket' of '_ssl._SSLContext' objects}
        1    0.000    0.000    0.000    0.000 tzinfo.py:66(BaseTzInfo)
       18    0.000    0.000    0.000    0.000 url.py:302(_idna_encode)
        1    0.000    0.000    0.001    0.001 __init__.py:24(<module>)
        1    0.000    0.000    0.000    0.000 idnadata.py:3(<module>)
        1    0.000    0.000    0.010    0.010 ssl.py:91(<module>)
       45    0.000    0.000    0.000    0.000 threading.py:255(_is_owned)
       23    0.000    0.000    0.000    0.000 sre_compile.py:432(_generate_overlap_table)
       44    0.000    0.000    0.001    0.000 abc.py:137(__instancecheck__)
       53    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       14    0.000    0.000    0.000    0.000 utils.py:287(to_key_val_list)
        2    0.000    0.000    0.337    0.169 connectionpool.py:351(_make_request)
       50    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       80    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
        1    0.000    0.000    0.059    0.059 url.py:1(<module>)
       16    0.000    0.000    0.000    0.000 parse.py:154(hostname)
       38    0.000    0.000    0.002    0.000 typing.py:1197(_alias)
        2    0.000    0.000    0.341    0.170 sessions.py:614(send)
        1    0.000    0.000    0.013    0.013 __init__.py:9(<module>)
       96    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
        1    0.000    0.000    0.000    0.000 stringprep.py:6(<module>)
        1    0.000    0.000    0.007    0.007 cookies.py:127(<module>)
       38    0.000    0.000    0.000    0.000 enum.py:907(_power_of_two)
        2    0.000    0.000    0.000    0.000 ssl.py:287(match_hostname)
       36    0.000    0.000    0.000    0.000 socket.py:97(_intenum_converter)
        1    0.000    0.000    0.000    0.000 decoder.py:343(raw_decode)
       51    0.000    0.000    0.000    0.000 six.py:173(_add_module)
        2    0.000    0.000    0.013    0.006 socket.py:735(getaddrinfo)
        1    0.000    0.000    0.007    0.007 shutil.py:5(<module>)
       29    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:98(_path_isdir)
        1    0.000    0.000    0.021    0.021 client.py:69(<module>)
        2    0.000    0.000    0.000    0.000 feedparser.py:218(_parsegen)
       22    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
        6    0.000    0.000    0.000    0.000 url.py:274(_normalize_host)
        2    0.000    0.000    0.001    0.000 ssl_.py:220(create_urllib3_context)
       10    0.000    0.000    0.000    0.000 __init__.py:1267(_fixupParents)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
       44    0.000    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
       10    0.000    0.000    0.000    0.000 typing.py:844(__init_subclass__)
        1    0.000    0.000    0.008    0.008 base.py:1(<module>)
        1    0.000    0.000    0.003    0.003 sessions.py:9(<module>)
        1    0.000    0.000    0.001    0.001 parse.py:28(<module>)
        1    0.000    0.000    0.000    0.000 quoprimime.py:55(<listcomp>)
       55    0.000    0.000    0.000    0.000 enum.py:628(value)
       15    0.000    0.000    0.006    0.000 parser.py:13(make_regex)
        2    0.000    0.000    0.000    0.000 models.py:442(prepare_headers)
       16    0.000    0.000    0.000    0.000 parse.py:190(_hostinfo)
       26    0.000    0.000    0.000    0.000 __init__.py:212(_acquireLock)
       65    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
       11    0.000    0.000    0.000    0.000 __init__.py:1336(__init__)
        1    0.000    0.000    0.000    0.000 datetime.py:1092(tzinfo)
        3    0.000    0.000    0.000    0.000 six.py:866(wrapper)
        2    0.000    0.000    0.002    0.001 response.py:1(<module>)
        2    0.000    0.000    0.338    0.169 connectionpool.py:494(urlopen)
       62    0.000    0.000    0.000    0.000 lazy.py:96(lazy)
        1    0.000    0.000    0.000    0.000 opcode.py:37(<listcomp>)
        1    0.000    0.000    0.002    0.002 adapters.py:9(<module>)
        1    0.000    0.000    0.000    0.000 cookies.py:164(<dictcomp>)
        1    0.000    0.000    0.001    0.001 client.py:203(parse_headers)
       37    0.000    0.000    0.000    0.000 namespace.py:21(ns)
    15/13    0.000    0.000    0.001    0.000 typing.py:248(inner)
        1    0.000    0.000    0.000    0.000 fields.py:73(<dictcomp>)
        1    0.000    0.000    0.061    0.061 ssl_.py:1(<module>)
        4    0.000    0.000    0.000    0.000 {built-in method _ssl.txt2obj}
